Mercury, Sol, 1, 328500000000000000000000, 4, 5, Y
Venus, Sol, 2, 4867000000000000000000000, 6, 7, V
Earth, Sol, 3, 5972000000000000000000000, 4, 4, E
Mars, Sol, 4, 602000000000000000000000, 10, 11, M
Jupiter, Sol, 5, 1898000000000000000000000000, 12, 13, J
Saturn, Sol, 6, 568300000000000000000000000, 14, 15, S
Uranus, Sol, 7, 86810000000000000000000000, 16, 17, U
Neptune, Sol, 8, 102400000000000000000000000, 18, 19, N
Proxima-Centauri-B, Alpha-Centauri, 1, 1327900000000000000000000, 22, 23, P
Vulcan, 40 Eridani, 1, 5678025760000000000, 24, 25, V
Delta Vega, 40 Eridani, 2, 18903030303030303030, 26, 27, D
Hoth, Hoth, 1, 2090000000000000000000000, 28, 29, H
Mustafar, Atravis, 3, 234523452345234523452345, 12, 24, F
Lefrani, Atravis, 2, 15115151515151515151515151, 8, 16, L
Jestefed, Atravis, 1, 12121212121212121212121212, 4, 8, J
